標題,Owner,狀態,開始日期,結束日期,BE 交付日期
會員登入優化,Vita,已完成,2026-04-13,2026-04-17,2026-04-14
首頁 Hero banner 動畫,Henry,已完成,2026-04-13,2026-04-16,
購物車 RWD 調整,Willy,已完成,2026-04-14,2026-04-17,
促銷活動頁切版,Leon,已完成,2026-04-13,2026-04-17,
優惠券系統 UI,Vita,ready to prod,2026-04-15,2026-04-20,2026-04-16
搜尋結果排序功能,Henry,ready to prod,2026-04-16,2026-04-21,
訂單詳情頁,Sunny,測試中,2026-04-15,2026-04-22,2026-04-17
後台登入二階段驗證,Paula,測試中,2026-04-16,2026-04-23,
商品篩選元件,Willy,測試中,2026-04-17,2026-04-22,
結帳流程改版,Vita,開發中,2026-04-20,2026-04-30,2026-04-23
會員資料編輯頁,Henry,開發中,2026-04-20,2026-04-28,
客訴系統整合,Sunny,開發中,2026-04-20,2026-05-04,2026-04-27
權限審核流程,Paula,開發中,2026-04-21,2026-04-30,
技術規格 Review,Jenny,開發中,2026-04-20,2026-04-24,
Email 驗證流程,Leon,待辦,2026-04-27,2026-05-04,2026-04-29
會員點數系統,Mary,待辦,2026-04-28,2026-05-08,2026-04-30
年度活動頁設計交接,Jason,待辦,2026-05-04,2026-05-08,
A/B Testing 工具評估,Mary,,,,
